setName,avgPrice,releaseYear
MagicFest 2019,8.69,2019
Commander 2019 Oversized,2.98,2019
Ultimate Box Toppers,1598.85,2018
Ultimate Masters,1061.54,2018
Core Set 2019 Promos,768.61,2018
Battlebond,715.13,2018
Dominaria Promos,652.19,2018
Rivals of Ixalan Promos,637.27,2018
Masters Edition,625.48,2018
Masters 25,593.65,2018
Judge Gift Cards 2018,590.02,2018
Core Set 2019,457.38,2018
Commander Anthology 2018,429.69,2018
Planechase Anthology Planes,369.93,2018
Rivals of Ixalan,336.62,2018
Dominaria,331.05,2018
Guilds of Ravnica Promos,311.83,2018
Guilds of Ravnica,300.84,2018
Commander 2018,266.16,2018
San Diego Comic-Con 2018,208.27,2018
Battlebond Promos,108.28999999999999,2018
Guild Kit: Dimir,98.75,2018
Duel Decks: Elves vs. Inventors,68.95,2018
Game Night,46.34,2018
Signature Spellbook: Jace,35.45,2018
Nationals Promos,32.75,2018
Global Series: Jiang Yanggu and Mu Yanling,14.46,2018
Commander 2018 Oversized,7.64,2018
Gift Pack,3.9699999999999998,2018
Masterpiece Series: Amonkhet Invocations,3863.9900000000002,2017
Ixalan Promos,771.91,2017
Iconic Masters,723.21,2017
Commander 2017,576.94,2017
Modern Masters 2017 Edition,563.59,2017
HasCon 2017,457.76,2017
Amonkhet Promos,419.33,2017
Judge Gift Cards 2017,408.40999999999997,2017
Commander Anthology,398.1,2017
Hour of Devastation Promos,380.59,2017
Aether Revolt Promos,372.54,2017
Unstable,327.92,2017
Ixalan,318.37,2017
Amonkhet,297.71,2017
Hour of Devastation,249.77,2017
San Diego Comic-Con 2017,198.09,2017
Aether Revolt,185.77,2017
XLN Treasure Chest,176.7,2017
From the Vault: Transform,135.36,2017
Archenemy: Nicol Bolas,94.2,2017
Explorers of Ixalan,87.94,2017
Duel Decks: Mind vs. Might,58.32,2017
Duel Decks: Merfolk vs. Goblins,53.82,2017
Commander 2017 Oversized,45.81,2017
Archenemy: Nicol Bolas Schemes,19.83,2017
Friday Night Magic 2017,6.3,2017
Welcome Deck 2017,5.4,2017
Unstable Promos,1.3,2017
Masterpiece Series: Kaladesh Inventions,8372.05,2016
Eternal Masters,1101.62,2016
Commander 2016,724.04,2016
Judge Gift Cards 2016,627.8399999999999,2016
Conspiracy: Take the Crown,604.61,2016
Eldritch Moon Promos,476.96,2016
Shadows over Innistrad Promos,465.22,2016
Kaladesh Promos,451.54,2016
Eldritch Moon,291.07,2016
Oath of the Gatewatch Promos,280.01,2016
Shadows over Innistrad,276.28,2016
Kaladesh,241.28,2016
Oath of the Gatewatch,164.79,2016
Planechase Anthology,152.79,2016
San Diego Comic-Con 2016,106.04,2016
From the Vault: Lore,76.76,2016
Duel Decks: Blessed vs. Cursed,31.04,2016
Duel Decks: Nissa vs. Ob Nixilis,27.16,2016
Commander 2016 Oversized,23.43,2016
Friday Night Magic 2016,8.469999999999999,2016
Welcome Deck 2016,5.17,2016
Zendikar Expeditions,4196.42,2015
San Diego Comic-Con 2015,911.3,2015
Modern Masters 2015 Edition,776.16,2015
Battle for Zendikar Promos,541.91,2015
Magic Origins,379.8,2015
Commander 2015,353.66,2015
Judge Gift Cards 2015,267.08,2015
Dragons of Tarkir,265.66,2015
Battle for Zendikar,262.65,2015
Magic Origins Promos,226.23000000000002,2015
Dragons of Tarkir Promos,181.21,2015
Fate Reforged,148.46,2015
Ugin's Fate promos,120.84,2015
Fate Reforged Promos,120.42,2015
From the Vault: Angels,90.74000000000001,2015
Duel Decks: Zendikar vs. Eldrazi,41.79,2015
Duel Decks: Elspeth vs. Kiora,28.75,2015
BFZ Standard Series,20.85,2015
Fate Reforged Clash Pack,19.05,2015
Friday Night Magic 2015,7.88,2015
Commander 2015 Oversized,4.0,2015
Magic Origins Clash Pack,3.9,2015
Tarkir Dragonfury,1.8,2015
Judge Gift Cards 2014,662.61,2014
Commander 2014,468.15,2014
Magic: The Gathering—Conspiracy,456.1,2014
Magic 2015 Core Set,380.32,2014
Khans of Tarkir,298.81,2014
Journey into Nyx,290.53000000000003,2014
San Diego Comic-Con 2014,247.9,2014
Born of the Gods,223.12,2014
Khans of Tarkir Promos,203.05,2014
Duel Decks Anthology: Divine vs. Demonic,102.61999999999999,2014
Modern Event Deck 2014,91.51,2014
Duel Decks Anthology: Garruk vs. Liliana,71.27,2014
From the Vault: Annihilation (2014),52.0,2014
Duel Decks Anthology: Jace vs. Chandra,44.77,2014
Magic 2015 Promos,39.85,2014
Duel Decks: Speed vs. Cunning,30.14,2014
Duel Decks: Jace vs. Vraska,25.88,2014
Journey into Nyx Promos,21.4,2014
Journey into Nyx Hero's Path,13.22,2014
Battle the Horde,10.77,2014
Friday Night Magic 2014,10.62,2014
Magic 2015 Clash Pack,9.31,2014
Born of the Gods Promos,7.48,2014
Commander 2014 Oversized,7.43,2014
Born of the Gods Hero's Path,3.31,2014
M15 Prerelease Challenge,2.57,2014
Defeat a God,1.74,2014
Duels of the Planeswalkers 2015 Promos,1.08,2014
Conspiracy Promos,0.44,2014
Modern Masters,743.01,2013
San Diego Comic-Con 2013,736.94,2013
Magic 2014 Core Set,418.87,2013
Commander 2013 Edition,372.6,2013
Gatecrash,365.88,2013
Theros,353.79,2013
Judge Gift Cards 2013,292.56,2013
From the Vault: Twenty,133.88,2013
Dragon's Maze,124.15,2013
World Magic Cup Qualifiers,86.38,2013
Friday Night Magic 2013,34.6,2013
Duel Decks: Sorin vs. Tibalt,24.85,2013
Duel Decks: Heroes vs. Monsters,24.43,2013
Commander 2013 Oversized,18.46,2013
Gatecrash Promos,16.37,2013
Theros Promos,14.89,2013
Dragon's Maze Promos,10.7,2013
Duels of the Planeswalkers 2014 Promos,7.9,2013
Face the Hydra,5.6,2013
Magic 2014 Promos,5.15,2013
Theros Hero's Path,3.4400000000000004,2013
Avacyn Restored,584.14,2012
Judge Gift Cards 2012,418.57,2012
Magic 2013,401.11,2012
From the Vault: Realms,387.22999999999996,2012
Return to Ravnica,352.51,2012
Open the Helvault,326.63,2012
Commander's Arsenal,295.3,2012
Dark Ascension,205.81,2012
Planechase 2012 Edition,158.83,2012
Commander's Arsenal Oversized,156.42999999999998,2012
IDW Comics 2012,107.73,2012
Planechase 2012 Planes,104.16,2012
Duel Decks: Izzet vs. Golgari,62.68,2012
Friday Night Magic 2012,54.269999999999996,2012
Duel Decks: Venser vs. Koth,44.67,2012
Dark Ascension Promos,33.38,2012
Duels of the Planeswalkers 2013 Promos,24.060000000000002,2012
Avacyn Restored Promos,14.44,2012
Return to Ravnica Promos,10.89,2012
Magic 2013 Promos,9.24,2012
Wizards Play Network 2012,4.359999999999999,2012
New Phyrexia,722.03,2011
Judge Gift Cards 2011,652.8,2011
Magic: The Gathering-Commander,473.85,2011
Mirrodin Besieged,433.96,2011
Innistrad,431.48,2011
Magic 2012,424.29,2011
From the Vault: Legends,138.56,2011
Commander 2011 Launch Party,81.89,2011
Premium Deck Series: Graveborn,80.94,2011
Duel Decks: Knights vs. Dragons,61.86,2011
Friday Night Magic 2011,59.52,2011
New Phyrexia Promos,53.89,2011
Duel Decks: Ajani vs. Nicol Bolas,40.65,2011
Commander 2011 Oversized,34.12,2011
Magic Player Rewards 2011,27.52,2011
Mirrodin Besieged Promos,12.440000000000001,2011
Duels of the Planeswalkers 2012 Promos,12.239999999999998,2011
Innistrad Promos,7.63,2011
Wizards Play Network 2011,3.93,2011
Magic 2012 Promos,2.95,2011
Judge Gift Cards 2010,2474.5,2010
From the Vault: Relics,1187.44,2010
Rise of the Eldrazi,1043.07,2010
Scars of Mirrodin,756.51,2010
Worldwake,548.8,2010
Magic 2011,470.46,2010
Archenemy Schemes,332.42,2010
Archenemy,130.94,2010
Duels of the Planeswalkers,122.42999999999999,2010
Friday Night Magic 2010,62.949999999999996,2010
Magic Player Rewards 2010,62.48,2010
Duel Decks: Elspeth vs. Tezzeret,61.69,2010
Duel Decks: Phyrexia vs. the Coalition,57.15,2010
Magic 2011 Promos,39.07,2010
Rise of the Eldrazi Promos,29.439999999999998,2010
Premium Deck Series: Fire and Lightning,25.63,2010
Duels of the Planeswalkers 2010 Promos,21.76,2010
Scars of Mirrodin Promos,15.41,2010
Worldwake Promos,15.31,2010
Judge Gift Cards 2009,2560.86,2009
Zendikar,917.76,2009
Magic 2010,489.71,2009
From the Vault: Exiled,395.09000000000003,2009
Planechase,280.06,2009
Conflux,245.74,2009
Alara Reborn,244.01,2009
URL/Convention Promos,222.12,2009
Planechase Planes,172.65,2009
Premium Deck Series: Slivers,132.24,2009
Duel Decks: Divine vs. Demonic,89.23,2009
Friday Night Magic 2009,84.22,2009
Magic Player Rewards 2009,55.81,2009
Duel Decks: Garruk vs. Liliana,54.720000000000006,2009
Zendikar Promos,27.040000000000003,2009
Magic 2010 Promos,15.469999999999999,2009
Alara Reborn Promos,10.31,2009
Promotional Planes,4.26,2009
Duels of the Planeswalkers 2009 Promos,4.03,2009
Conflux Promos,1.31,2009
Shadowmoor,1234.8700000000001,2008
Eventide,839.33,2008
Morningtide,777.45,2008
Shards of Alara,454.86,2008
Judge Gift Cards 2008,428.15,2008
From the Vault: Dragons,121.22,2008
Friday Night Magic 2008,119.47,2008
Magic Player Rewards 2008,75.59,2008
Duel Decks: Jace vs. Chandra,35.12,2008
Morningtide Promos,14.44,2008
Shadowmoor Promos,9.690000000000001,2008
15th Anniversary Cards,3.4400000000000004,2008
Eventide Promos,3.11,2008
Shards of Alara Promos,3.02,2008
Pro Tour Promos,4226.38,2007
Tenth Edition,1800.5,2007
Future Sight,1258.64,2007
Lorwyn,1115.34,2007
Judge Gift Cards 2007,650.39,2007
Planar Chaos,644.84,2007
Grand Prix Promos,350.14,2007
Duel Decks: Elves vs. Goblins,140.23,2007
Friday Night Magic 2007,111.56,2007
Magic Player Rewards 2007,36.86,2007
Future Sight Promos,11.61,2007
Tenth Edition Promos,11.28,2007
Lorwyn Promos,8.07,2007
Planar Chaos Promos,2.1799999999999997,2007
Happy Holidays,1778.87,2006
Dissension,1014.78,2006
Time Spiral,881.75,2006
Champs and States,803.53,2006
Coldsnap,800.47,2006
"Time Spiral ""Timeshifted""",612.82,2006
Guildpact,548.97,2006
DCI Promos,447.38,2006
Judge Gift Cards 2006,109.85,2006
Friday Night Magic 2006,107.26,2006
Magic Player Rewards 2006,52.25,2006
Coldsnap Theme Decks,28.73,2006
Time Spiral Promos,11.53,2006
Coldsnap Promos,9.76,2006
Arena League 2006,5.95,2006
Dissension Promos,1.9,2006
Guildpact Promos,1.16,2006
Ninth Edition,2192.97,2005
Ravnica: City of Guilds,917.27,2005
Saviors of Kamigawa,744.03,2005
Betrayers of Kamigawa,737.99,2005
Judge Gift Cards 2005,414.08,2005
Junior Series Europe,261.52,2005
Friday Night Magic 2005,103.53,2005
Magic Player Rewards 2005,31.009999999999998,2005
Betrayers of Kamigawa Promos,19.279999999999998,2005
Two-Headed Giant Tournament,12.5,2005
Saviors of Kamigawa Promos,1.93,2005
Arena League 2005,1.8599999999999999,2005
Ravnica: City of Guilds Promos,1.47,2005
Ninth Edition Promos,0.62,2005
Champions of Kamigawa,1687.1100000000001,2004
Unhinged,1656.42,2004
Fifth Dawn,961.98,2004
Darksteel,720.04,2004
Judge Gift Cards 2004,395.78,2004
Friday Night Magic 2004,218.92,2004
World Championship Decks 2004,206.4,2004
Arena League 2004,70.42,2004
Mirrodin Promos,24.78,2004
Magic Player Rewards 2004,19.04,2004
Darksteel Promos,13.68,2004
Fifth Dawn Promos,5.55,2004
Champions of Kamigawa Promos,4.81,2004
Unhinged Promos,1.45,2004
Eighth Edition,2351.7799999999997,2003
Mirrodin,1238.31,2003
Judge Gift Cards 2003,1203.95,2003
Scourge,1010.36,2003
Legions,833.52,2003
World Championship Decks 2003,277.2,2003
Friday Night Magic 2003,263.41,2003
Arena League 2003,5.86,2003
Magic Player Rewards 2003,5.73,2003
Scourge Promos,4.04,2003
Onslaught Promos,1.78,2003
Legions Promos,1.02,2003
Eighth Edition Promos,0.95,2003
Onslaught,3731.39,2002
Judgment,1168.67,2002
Torment,757.24,2002
Friday Night Magic 2002,322.05,2002
World Championship Decks 2002,220.03,2002
Arena League 2002,173.51,2002
Judge Gift Cards 2002,44.489999999999995,2002
Seventh Edition,17492.16,2001
Odyssey,2383.0099999999998,2001
Planeshift,1324.7,2001
Apocalypse,1011.83,2001
Friday Night Magic 2001,674.2,2001
Magic Player Rewards 2001,291.36,2001
World Championship Decks 2001,224.64000000000001,2001
Judge Gift Cards 2001,171.47,2001
Deckmasters,117.77,2001
Arena League 2001,106.21,2001
Invasion,1999.79,2000
Nemesis,1170.02,2000
Prophecy,725.79,2000
World Championship Decks 2000,487.7,2000
Judge Gift Cards 2000,317.48,2000
Arena League 2000,288.71999999999997,2000
Friday Night Magic 2000,155.5,2000
Beatdown Box Set,69.24,2000
Starter 2000,6.140000000000001,2000
Nemesis Promos,4.07,2000
Prophecy Promos,2.67,2000
Portal Three Kingdoms,6315.08,1999
Mercadian Masques,3504.05,1999
Urza's Destiny,3127.18,1999
Urza's Legacy,2927.2400000000002,1999
Junior Super Series,734.42,1999
World Championship Decks 1999,606.88,1999
Classic Sixth Edition,523.87,1999
Starter 1999,378.47,1999
Battle Royale Box Set,136.39,1999
Arena League 1999,129.35,1999
Urza's Legacy Promos,104.08,1999
Wizards of the Coast Online Store,102.48,1999
World Championship Promos,54.72,1999
Portal: Three Kingdoms Promos,34.92,1999
Judge Gift Cards 1999,30.4,1999
Urza's Destiny Promos,10.06,1999
Mercadian Masques Promos,3.29,1999
Judge Gift Cards 1998,3633.3900000000003,1998
Urza's Saga,2858.47,1998
Stronghold,1401.75,1998
Exodus,1050.3899999999999,1998
Portal Second Age,430.01,1998
World Championship Decks 1998,279.18,1998
Unglued,149.56,1998
Urza's Saga Promos,144.98,1998
Anthologies,96.07000000000001,1998
Stronghold Promos,3.24,1998
Exodus Promos,2.76,1998
Tempest,1237.6,1997
Vanguard Series,639.85,1997
Fifth Edition,554.26,1997
Weatherlight,453.84,1997
Portal,452.51,1997
Visions,447.82,1997
World Championship Decks 1997,218.33,1997
MicroProse Promos,40.5,1997
Tempest Promos,9.12,1997
Mirage,1265.99,1996
Pro Tour Collector Set,838.47,1996
Alliances,417.21999999999997,1996
Introductory Two-Player Set,51.48,1996
Arena League 1996,14.31,1996
Media Inserts,533.86,1995
Ice Age,489.58,1995
Fourth Edition,476.3,1995
Chronicles,114.66,1995
Homelands,107.58,1995
DCI Legend Membership,55.31999999999999,1995
Legends,13954.61,1994
Antiquities,7321.49,1994
Revised Edition,6060.610000000001,1994
The Dark,628.21,1994
Summer Magic / Edgar,400.0,1994
HarperPrism Book Promos,186.13,1994
Fallen Empires,88.1,1994
Dragon Con,2.45,1994
Limited Edition Alpha,390428.71,1993
Limited Edition Beta,231616.82,1993
Unlimited Edition,71446.31999999999,1993
Intl. Collectors’ Edition,17345.64,1993
Collectors’ Edition,14548.06,1993
Arabian Nights,13705.41,1993
